--------------------Report--------------------
[0]  master A: 2  master B: 2  master ALUControl: 0  master result: 2  slave result: 2      correct? 1
[1]  master A: 4  master B: 5  master ALUControl: 1  master result: 1  slave result: 1      correct? 1
[2]  master A: 2  master B: 5  master ALUControl: 1  master result: 7  slave result: 7      correct? 1
[3]  master A: 4  master B: 8  master ALUControl: 3  master result: 4294967292  slave result: 12      correct? 0
[4]  master A: 4  master B: 8  master ALUControl: 3  master result: 4294967292  slave result: 12      correct? 0
[5]  master A: 6  master B: 11  master ALUControl: 5  master result: 4294967280  slave result: 4294967280      correct? 1
[6]  master A: 6  master B: 11  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[7]  master A: 8  master B: 14  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[8]  master A: 8  master B: 14  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[9]  master A: 10  master B: 17  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[10]  master A: 10  master B: 17  master ALUControl: 12  master result: 27  slave result: 27      correct? 1
[11]  master A: 12  master B: 20  master ALUControl: 11  master result: 0  slave result: 0      correct? 1
[12]  master A: 12  master B: 20  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[13]  master A: 14  master B: 23  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[14]  master A: 14  master B: 23  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[15]  master A: 16  master B: 26  master ALUControl: 0  master result: 16  slave result: 16      correct? 1
[16]  master A: 16  master B: 6  master ALUControl: 5  master result: 4294967273  slave result: 4294967273      correct? 1
[17]  master A: 18  master B: 9  master ALUControl: 2  master result: 9  slave result: 9      correct? 1
[18]  master A: 20  master B: 12  master ALUControl: 3  master result: 8  slave result: 32      correct? 0
[19]  master A: 22  master B: 15  master ALUControl: 4  master result: 0  slave result: 0      correct? 1
[20]  master A: 24  master B: 18  master ALUControl: 5  master result: 4294967269  slave result: 4294967269      correct? 1
[21]  master A: 26  master B: 21  master ALUControl: 6  master result: 4294967269  slave result: 4294967269      correct? 1
[22]  master A: 28  master B: 24  master ALUControl: 7  master result: 1  slave result: 1      correct? 1
[23]  master A: 30  master B: 27  master ALUControl: 8  master result: 4026531840  slave result: 4026531840      correct? 1
[24]  master A: 32  master B: 30  master ALUControl: 9  master result: 1  slave result: 1      correct? 1
[25]  master A: 34  master B: 33  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[26]  master A: 36  master B: 36  master ALUControl: 11  master result: 1073741826  slave result: 1073741826      correct? 1
[27]  master A: 38  master B: 39  master ALUControl: 12  master result: 1  slave result: 1      correct? 1
[28]  master A: 40  master B: 42  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[29]  master A: 42  master B: 45  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[30]  master A: 44  master B: 48  master ALUControl: 0  master result: 32  slave result: 32      correct? 1
[31]  master A: 46  master B: 51  master ALUControl: 1  master result: 29  slave result: 29      correct? 1
[32]  master A: 48  master B: 54  master ALUControl: 2  master result: 4294967290  slave result: 4294967290      correct? 1
[33]  master A: 50  master B: 57  master ALUControl: 3  master result: 4294967289  slave result: 107      correct? 0
[34]  master A: 52  master B: 60  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[35]  master A: 54  master B: 63  master ALUControl: 5  master result: 4294967232  slave result: 4294967232      correct? 1
[36]  master A: 56  master B: 66  master ALUControl: 6  master result: 4294967232  slave result: 4294967232      correct? 1
[37]  master A: 58  master B: 69  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[38]  master A: 60  master B: 72  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[39]  master A: 62  master B: 75  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[40]  master A: 64  master B: 78  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[41]  master A: 66  master B: 81  master ALUControl: 11  master result: 0  slave result: 0      correct? 1
[42]  master A: 68  master B: 84  master ALUControl: 12  master result: 16  slave result: 16      correct? 1
[43]  master A: 70  master B: 87  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[44]  master A: 72  master B: 90  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[45]  master A: 74  master B: 93  master ALUControl: 0  master result: 72  slave result: 72      correct? 1
[46]  master A: 76  master B: 96  master ALUControl: 1  master result: 44  slave result: 44      correct? 1
[47]  master A: 78  master B: 99  master ALUControl: 2  master result: 4294967275  slave result: 4294967275      correct? 1
[48]  master A: 80  master B: 102  master ALUControl: 3  master result: 4294967274  slave result: 182      correct? 0
[49]  master A: 82  master B: 105  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[50]  master A: 84  master B: 108  master ALUControl: 5  master result: 4294967171  slave result: 4294967171      correct? 1
[51]  master A: 86  master B: 111  master ALUControl: 6  master result: 4294967171  slave result: 4294967171      correct? 1
[52]  master A: 88  master B: 114  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[53]  master A: 90  master B: 117  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[54]  master A: 92  master B: 120  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[55]  master A: 94  master B: 123  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[56]  master A: 96  master B: 126  master ALUControl: 11  master result: 384  slave result: 384      correct? 1
[57]  master A: 98  master B: 129  master ALUControl: 12  master result: 227  slave result: 227      correct? 1
[58]  master A: 100  master B: 132  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[59]  master A: 102  master B: 135  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[60]  master A: 104  master B: 138  master ALUControl: 0  master result: 8  slave result: 8      correct? 1
[61]  master A: 106  master B: 141  master ALUControl: 1  master result: 231  slave result: 231      correct? 1
[62]  master A: 108  master B: 144  master ALUControl: 2  master result: 4294967260  slave result: 4294967260      correct? 1
[63]  master A: 110  master B: 147  master ALUControl: 3  master result: 4294967259  slave result: 257      correct? 0
[64]  master A: 112  master B: 150  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[65]  master A: 114  master B: 153  master ALUControl: 5  master result: 4294967044  slave result: 4294967044      correct? 1
[66]  master A: 116  master B: 156  master ALUControl: 6  master result: 4294967044  slave result: 4294967044      correct? 1
[67]  master A: 118  master B: 159  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[68]  master A: 120  master B: 162  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[69]  master A: 122  master B: 165  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[70]  master A: 124  master B: 168  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[71]  master A: 126  master B: 171  master ALUControl: 11  master result: 264241152  slave result: 264241152      correct? 1
[72]  master A: 128  master B: 174  master ALUControl: 12  master result: 46  slave result: 46      correct? 1
[73]  master A: 130  master B: 177  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[74]  master A: 132  master B: 180  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[75]  master A: 134  master B: 183  master ALUControl: 0  master result: 134  slave result: 134      correct? 1
[76]  master A: 136  master B: 186  master ALUControl: 1  master result: 50  slave result: 50      correct? 1
[77]  master A: 138  master B: 189  master ALUControl: 2  master result: 4294967245  slave result: 4294967245      correct? 1
[78]  master A: 140  master B: 192  master ALUControl: 3  master result: 4294967244  slave result: 332      correct? 0
[79]  master A: 142  master B: 195  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[80]  master A: 144  master B: 198  master ALUControl: 5  master result: 4294967081  slave result: 4294967081      correct? 1
[81]  master A: 146  master B: 201  master ALUControl: 6  master result: 4294967081  slave result: 4294967081      correct? 1
[82]  master A: 148  master B: 204  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[83]  master A: 150  master B: 207  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[84]  master A: 152  master B: 210  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[85]  master A: 154  master B: 213  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[86]  master A: 156  master B: 216  master ALUControl: 11  master result: 0  slave result: 0      correct? 1
[87]  master A: 158  master B: 219  master ALUControl: 12  master result: 69  slave result: 69      correct? 1
[88]  master A: 160  master B: 222  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[89]  master A: 162  master B: 225  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[90]  master A: 164  master B: 228  master ALUControl: 0  master result: 164  slave result: 164      correct? 1
[91]  master A: 166  master B: 231  master ALUControl: 1  master result: 65  slave result: 65      correct? 1
[92]  master A: 168  master B: 234  master ALUControl: 2  master result: 4294967230  slave result: 4294967230      correct? 1
[93]  master A: 170  master B: 237  master ALUControl: 3  master result: 4294967229  slave result: 407      correct? 0
[94]  master A: 172  master B: 240  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[95]  master A: 174  master B: 243  master ALUControl: 5  master result: 4294967040  slave result: 4294967040      correct? 1
[96]  master A: 176  master B: 246  master ALUControl: 6  master result: 4294967040  slave result: 4294967040      correct? 1
[97]  master A: 178  master B: 249  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[98]  master A: 180  master B: 252  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[99]  master A: 182  master B: 255  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[100]  master A: 184  master B: 258  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[101]  master A: 186  master B: 261  master ALUControl: 11  master result: 5  slave result: 5      correct? 1
[102]  master A: 188  master B: 264  master ALUControl: 12  master result: 436  slave result: 436      correct? 1
[103]  master A: 190  master B: 267  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[104]  master A: 192  master B: 270  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[105]  master A: 194  master B: 273  master ALUControl: 0  master result: 0  slave result: 0      correct? 1
[106]  master A: 196  master B: 276  master ALUControl: 1  master result: 464  slave result: 464      correct? 1
[107]  master A: 198  master B: 279  master ALUControl: 2  master result: 4294967215  slave result: 4294967215      correct? 1
[108]  master A: 200  master B: 282  master ALUControl: 3  master result: 4294967214  slave result: 482      correct? 0
[109]  master A: 202  master B: 285  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[110]  master A: 204  master B: 288  master ALUControl: 5  master result: 4294966803  slave result: 4294966803      correct? 1
[111]  master A: 206  master B: 291  master ALUControl: 6  master result: 4294966803  slave result: 4294966803      correct? 1
[112]  master A: 208  master B: 294  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[113]  master A: 210  master B: 297  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[114]  master A: 212  master B: 300  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[115]  master A: 214  master B: 303  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[116]  master A: 216  master B: 306  master ALUControl: 11  master result: 3538944  slave result: 3538944      correct? 1
[117]  master A: 218  master B: 309  master ALUControl: 12  master result: 495  slave result: 495      correct? 1
[118]  master A: 220  master B: 312  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[119]  master A: 222  master B: 315  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[120]  master A: 224  master B: 318  master ALUControl: 0  master result: 32  slave result: 32      correct? 1
[121]  master A: 226  master B: 321  master ALUControl: 1  master result: 419  slave result: 419      correct? 1
[122]  master A: 228  master B: 324  master ALUControl: 2  master result: 4294967200  slave result: 4294967200      correct? 1
